Designator,Footprint,Quantity,Value,LCSC Part #
Boot1,SW_SPST_CK_RS282G05A3,1,Boot,C72443
C1,0603,1,220nF 50v x5r,C64705
"C10, C9",1206,2,47uF,C96123
C11,CP_Radial_D10.0mm_P5.00mm,1,1000uF,C503217
C12,0603,1,22uF,C59461
"C13, C5",0603,2,100nF,C14663
C2,CP_Radial_D10.0mm_P5.00mm,1,220uF,C503217
"C3, C4",0805,2,2.2uF 60V,C49217
C6,0603,1,6800pF,C1631
"C7, C8",0603,2,39pf,C1666
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,no
D2,D_SMC_Handsoldering,1,SS56,C4944963
D3,D_SOD-123F,1,D,
J1,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Conn_01x03,
J2,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Conn_01x02_Female,C108769
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
L1,L_7.3x7.3_H3.5,1,8.2uH,C5189935
M1,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Male,
"R1, R2",0603,2,82k,C23254
R3,0603,1,13k,C22797
"R4, R5, R7, Rvoltage_GND1",0603,4,1k,
R6,2512,1,1.5,C5127851
R8,1210,1,1.5,C5127851
Rvoltage_Output1,0603,1,14k,C3016340
U1,TI_SO-PowerPAD-8_ThermalVias,1,TPS54360DDA,C44377
U2,SOT-23-5,1,SPX3819M5-L-3-3,C5370980
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,1,A4950E,C82404
U4,MODULE_ESP32-C3_SUPERMINI,1,ESP32-C3_SUPERMINI,
