Designator,Mid X,Mid Y,Rotation,Layer
Boot1,132.9,-87.5,180.0,top
C1,136.275,-45.0,180.0,top
C10,155.75,-43.5,180.0,top
C11,148.0,-46.617677,270.0,top
C12,125.0,-43.275,90.0,top
C13,139.0,-83.25,270.0,top
C2,134.75,-73.25,90.0,top
C3,139.375,-62.075,90.0,top
C4,141.625,-62.075,90.0,top
C5,143.875,-60.675,90.0,top
C6,161.125,-63.85,90.0,top
C7,154.365,-63.85,90.0,top
C8,156.125,-63.85,90.0,top
C9,160.75,-43.5,0.0,top
D1,131.5,-82.0,0.0,top
D2,154.375,-57.325,180.0,top
D3,135.35,-42.5,0.0,top
J1,123.0,-74.2,180.0,top
J2,125.5,-63.0,90.0,top
J3,122.985,-81.5,90.0,top
L1,158.625,-49.325,90.0,top
M1,121.0,-50.75,90.0,top
R1,144.625,-66.825,270.0,top
R2,147.4625,-67.575,0.0,top
R3,158.625,-64.575,0.0,top
R4,139.0,-79.75,90.0,top
R5,126.0,-86.325,270.0,top
R6,129.5,-49.5,180.0,top
R7,123.5,-86.425,90.0,top
R8,128.0,-49.5,180.0,top
Rvoltage_GND1,162.875,-65.0,90.0,top
Rvoltage_Output1,162.5,-59.0,270.0,top
U1,149.475,-63.815,0.0,top
U2,130.05,-43.3625,90.0,top
U3,137.85,-48.825,90.0,top
U4,153.65,-80.62,270.0,top
